Date,Brooklyn_Bridge,Manhattan_Bridge,Williamsburg_Bridge,Queensboro_Bridge,Total
2017-08-24,3688,7061,7849,6289,24887
2017-08-25,3144,6296,7318,5786,22544
2017-08-26,2710,4592,5537,4670,17509
2017-08-27,2676,4785,5145,4159,16765
2017-08-28,3332,6908,7343,5917,23500
2017-08-29,1472,3206,3776,3563,12017
2017-08-30,3468,7159,7656,5858,24141
2017-08-31,3279,6705,7536,5934,23454
2017-09-01,2945,5611,6576,5398,20530
2017-09-02,1876,3121,3625,3325,11947
2017-09-03,1004,1867,2479,1711,7061
2017-09-04,2866,4766,4882,4346,16860
2017-09-05,3244,7244,7537,5906,23931
2017-09-06,1232,2672,3310,2951,10165
2017-09-07,3249,7059,7717,5923,23948
2017-09-08,3234,6850,7739,5836,23659
2017-09-09,2609,5035,5849,4471,17964
2017-09-10,4960,5673,5773,4381,20787
2017-09-11,3657,7783,8254,5986,25680
2017-09-12,3497,7983,8756,6386,26622
2017-09-13,2994,7461,8095,6213,24763
2017-09-14,3013,6703,7629,5697,23042
2017-09-15,3344,6998,7749,5853,23944
2017-09-16,2560,4860,5568,4532,17520
2017-09-17,2676,4935,5599,4032,17242
2017-09-18,2673,6338,6708,4864,20583
2017-09-19,2012,4726,5729,4171,16638
2017-09-20,3296,6826,7518,5570,23210
2017-09-21,3317,6663,8151,5792,23923
2017-09-22,3297,6272,7570,5547,22686
2017-09-23,2810,4940,6167,4635,18552
2017-09-24,2543,4500,5083,3977,16103
2017-09-25,3276,7227,7708,5941,24152
2017-09-26,3157,7676,8150,6179,25162
2017-09-27,3216,7313,7983,6309,24821
2017-09-28,3421,7301,8118,6277,25117
2017-09-29,2988,6221,7659,5677,22545
2017-09-30,1903,3507,4749,3729,13888
2017-10-01,2297,4540,5046,4092,15975
2017-10-02,3387,7059,7616,5722,23784
2017-10-03,3386,7370,8161,6363,25280
2017-10-04,3412,7691,8136,6238,25477
2017-10-05,3312,7034,7598,5998,23942
2017-10-06,2982,6204,7336,5675,22197
2017-10-07,2750,5019,5873,4576,18218
2017-10-08,1235,2450,3162,2327,9174
2017-10-09,898,2321,3079,2642,8940
2017-10-10,3922,7499,8208,6421,26050
2017-10-11,2721,5694,6683,5559,20657
2017-10-12,2411,5083,6043,4603,18140
2017-10-13,2839,5863,6612,5240,20554
2017-10-14,2021,4079,4878,3734,14712
2017-10-15,2169,4285,4943,3793,15190
2017-10-16,2751,5752,6391,5045,19939
2017-10-17,2869,6155,6612,5249,20885
2017-10-18,3264,6608,7398,5753,23023
2017-10-19,3265,6860,7742,6167,24034
2017-10-20,3169,6286,7215,5814,22484
2017-10-21,2538,4834,6167,4940,18479
2017-10-22,2744,4967,5328,4474,17513
2017-10-23,3189,6671,7096,5975,22931
2017-10-24,954,2614,3251,2682,9501
2017-10-25,3367,6720,7294,5856,23237
2017-10-26,2565,5217,5958,5011,18751
2017-10-27,3150,5610,6450,5181,20391
2017-10-28,2245,4520,5104,4069,15938
2017-10-29,183,661,1026,965,2835
2017-10-30,1428,2966,3547,2924,10865
2017-10-31,2727,5597,5894,4883,19101
